,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,dikson,73.5069,80.5464,258.37,88,100,3.67,RU,1618733563
132,kartaly,53.0522,60.6467,286.67,41,0,5.21,RU,1618733564
133,zaton,53.2936,83.8072,281.15,29,40,5.0,RU,1618733564
134,khani,41.9563,42.9566,299.15,36,40,9.26,GE,1618733564
135,sitka,57.0531,-135.33,279.15,81,40,2.57,US,1618733565
136,marsh harbour,26.5412,-77.0636,297.48,81,0,5.47,BS,1618733565
137,petrivka,46.9695,30.9591,285.15,47,0,4.0,UA,1618733566
138,obo,5.3998,26.4869,304.46,43,98,1.71,CF,1618733566
139,torbay,47.6666,-52.7314,275.93,100,90,6.17,CA,1618733567
140,nome,64.5011,-165.4064,271.15,74,1,2.57,US,1618733770
141,helena,46.5927,-112.0361,279.26,39,1,1.54,US,1618733567
142,cidreira,-30.1811,-50.2056,293.98,86,17,2.76,BR,1618733568
143,saint george,37.1041,-113.5841,287.15,21,1,4.12,US,1618733568
144,somerset,40.5668,-74.5496,281.48,87,90,2.36,US,1618733418
145,tatarskaya kargala,51.9495,55.1731,293.15,32,0,3.0,RU,1618733570
146,port elizabeth,-33.918,25.5701,299.15,36,0,1.54,ZA,1618733528
147,vilyuysk,63.7553,121.6247,267.1,88,100,3.93,RU,1618733571
148,mahebourg,-20.4081,57.7,299.15,89,75,5.66,MU,1618733571
149,beinamar,8.6698,15.3813,306.94,33,100,2.93,TD,1618733571
150,new ulm,44.3125,-94.4605,277.59,64,90,3.09,US,1618733572
151,daru,-9.0763,143.2092,299.96,85,100,2.2,PG,1618733572
152,port blair,11.6667,92.75,303.88,62,18,3.55,IN,1618733572
153,bogale,16.2833,95.4,306.88,42,91,1.71,MM,1618733573
154,chernyy yar,48.0624,46.1091,289.45,43,17,0.13,RU,1618733573
155,lewiston,44.1003,-70.2148,277.04,93,90,1.54,US,1618733551
156,denpasar,-8.65,115.2167,303.15,79,20,6.17,ID,1618733541
157,fort oglethorpe,34.949,-85.2569,283.15,76,1,1.44,US,1618733574
158,butaritari,3.0707,172.7902,301.26,75,100,4.99,KI,1618733574
159,pisco,-13.7,-76.2167,291.15,88,34,1.54,PE,1618733344
160,lamu,-2.2717,40.902,303.15,70,75,6.69,KE,1618733575
161,portland,45.5234,-122.6762,288.71,50,1,0.8,US,1618733570
162,san quintin,30.4833,-115.95,286.48,90,14,3.12,MX,1618733575
163,odweyne,9.4092,45.064,300.6,46,53,4.0,SO,1618733576
164,yining,29.0361,114.5636,286.65,89,100,0.91,CN,1618733576
165,nikolskoye,59.7035,30.7861,285.93,35,0,4.0,RU,1618733576
166,akyab,20.15,92.9,303.26,58,0,7.63,MM,1618733577
167,fukue,32.6881,128.8419,288.15,51,20,6.69,JP,1618733577
168,talnakh,69.4865,88.3972,254.74,81,27,2.25,RU,1618733578
169,barwadih,23.8333,84.1167,313.17,10,36,6.34,IN,1618733578
170,tyrma,50.0833,132.1667,283.44,57,91,2.15,RU,1618733578
171,sile,41.1754,29.6133,285.93,93,75,5.14,TR,1618733579
172,port alfred,-33.5906,26.891,300.58,22,83,2.84,ZA,1618733579
173,zavyalovo,54.5053,82.4484,281.15,42,0,8.0,RU,1618733579
174,peniche,39.3558,-9.3811,286.48,95,100,0.45,PT,1618733580
175,chokurdakh,70.6333,147.9167,265.41,95,89,3.24,RU,1618733580
176,santa isabel do rio negro,-0.4139,-65.0192,295.96,99,100,0.7,BR,1618733580
177,hambantota,6.1241,81.1185,305.15,70,40,4.63,LK,1618733581
178,hamilton,39.1834,-84.5333,279.26,87,1,2.06,US,1618733437
179,kassala,15.451,36.4,310.06,18,6,5.27,SD,1618733582
180,manggar,-2.8833,108.2667,302.69,61,100,2.86,ID,1618733582
181,codrington,-38.2667,141.9667,287.69,72,12,5.04,AU,1618733582
182,kutum,14.2,24.6667,302.81,6,20,7.36,SD,1618733584
183,upernavik,72.7868,-56.1549,258.37,94,100,2.75,GL,1618733584
184,asau,46.4333,26.4,281.48,44,100,2.73,RO,1618733585
185,hobyo,5.3505,48.5268,304.09,55,21,5.47,SO,1618733585
186,ziway,7.9333,38.7167,297.93,42,55,2.17,ET,1618733471
187,hoa binh,20.8133,105.3383,297.15,83,75,2.57,VN,1618733586
188,lundazi,-12.2929,33.1782,290.92,79,100,4.16,ZM,1618733586
189,tasiilaq,65.6145,-37.6368,268.15,86,75,1.63,GL,1618733586
190,tukrah,32.5341,20.5791,294.08,67,98,6.09,LY,1618733587
191,gwembe,-16.4975,27.6069,292.5,55,99,4.46,ZM,1618733587
192,kavieng,-2.5744,150.7967,301.22,74,54,3.28,PG,1618733588
193,mattru,7.6244,-11.8332,298.75,84,98,0.3,SL,1618733588
194,carnarvon,-24.8667,113.6333,300.7,49,0,6.08,AU,1618733588
195,north myrtle beach,33.816,-78.68,290.37,82,40,1.96,US,1618733589
196,karla,59.3723,24.9275,284.15,43,0,4.63,EE,1618733589
197,hohhot,40.8106,111.6522,291.15,16,0,6.0,CN,1618733590
198,auki,-8.7676,160.7034,299.69,83,100,1.5,SB,1618733590
199,doha,25.2867,51.5333,308.15,15,0,4.12,QA,1618733782
200,chapleau,47.8405,-83.4034,272.4,92,45,1.14,CA,1618733591
201,pansemal,21.65,74.7,312.34,13,4,3.08,IN,1618733591
202,oranjemund,-28.55,16.4333,302.78,31,0,2.55,NA,1618733591
203,mumford,5.2618,-0.759,300.99,73,100,3.4,GH,1618733592
204,kahului,20.8947,-156.47,294.15,94,20,3.09,US,1618733533
205,korla,41.7597,86.1469,296.72,12,100,5.28,CN,1618733593
206,airai,-8.9266,125.4092,292.3,72,97,2.12,TL,1618733593
207,mar del plata,-38.0023,-57.5575,291.48,100,90,3.09,AR,1618733593
208,viedma,-40.8135,-62.9967,288.9,97,100,2.82,AR,1618733594
209,pochutla,15.7432,-96.4661,294.82,85,1,0.45,MX,1618733594
210,sao filipe,14.8961,-24.4956,295.03,74,0,4.05,CV,1618733595
211,aklavik,68.2191,-135.0107,277.15,60,75,1.54,CA,1618733595
212,soyo,-6.1349,12.3689,301.15,83,20,1.11,AO,1618733595
213,piedra gorda,18.4341,-66.8877,295.37,100,5,1.11,PR,1618733596
214,tuatapere,-46.1333,167.6833,284.26,76,100,1.79,NZ,1618733596
215,naestved,55.2299,11.7609,284.26,50,27,1.54,DK,1618733596
216,aasiaat,68.7098,-52.8699,255.17,92,100,4.3,GL,1618733597
217,axim,4.8699,-2.2405,301.56,74,100,2.55,GH,1618733597
218,arman,59.7,150.1667,272.96,98,100,0.69,RU,1618733598
219,dunedin,-45.8742,170.5036,284.82,79,100,2.38,NZ,1618733598
220,sola,-13.8833,167.55,301.29,75,97,5.09,VU,1618733598
221,alta floresta,-9.8756,-56.0861,293.84,99,100,1.25,BR,1618733599
222,cap malheureux,-19.9842,57.6142,302.59,72,92,4.02,MU,1618733599
223,koungou,-12.7336,45.2042,303.15,74,90,1.54,YT,1618733533
224,bar harbor,44.3876,-68.2039,275.37,80,75,5.14,US,1618733600
225,port-cartier,50.0334,-66.8654,271.48,74,20,3.09,CA,1618733600
226,marmande,44.5,0.1667,283.71,65,16,0.89,FR,1618733600
227,radlje ob dravi,46.6142,15.2264,279.82,73,100,0.45,SI,1618733601
228,alice springs,-23.7,133.8833,296.48,21,2,5.14,AU,1618733533
229,chingirlau,51.095,54.0814,292.61,44,59,0.75,KZ,1618733602
230,zambezi,-13.5432,23.1047,295.35,53,100,5.08,ZM,1618733602
231,malindi,-3.2175,40.1191,300.15,89,75,7.2,KE,1618733603
232,dingle,10.9995,122.6711,302.29,61,100,6.52,PH,1618733603
233,urumqi,43.801,87.6005,295.15,26,40,3.0,CN,1618733603
234,olean,42.0776,-78.4297,277.15,100,75,1.54,US,1618733604
235,dunkirk,51.05,2.3667,282.59,74,100,0.89,FR,1618733604
236,gopalpur,19.2667,84.9167,304.42,63,5,8.92,IN,1618733605
237,svetlaya,46.5389,138.3297,276.92,88,100,8.71,RU,1618733530
238,priargunsk,50.3691,119.1012,292.27,19,57,3.69,RU,1618733606
239,itaituba,-4.2761,-55.9836,295.43,99,100,0.76,BR,1618733606
240,panama city,8.9936,-79.5197,298.15,94,75,1.54,PA,1618733486
241,acapulco,16.8634,-99.8901,296.99,70,0,2.18,MX,1618733607
242,lorengau,-2.0226,147.2712,300.26,81,31,3.31,PG,1618733350
243,bodden town,19.2833,-81.25,300.37,1,54,2.68,KY,1618733607
244,rumonge,-3.9736,29.4386,295.92,89,100,2.03,BI,1618733608
245,chagoda,59.164,35.3285,284.05,46,81,4.32,RU,1618733608
246,cockburn town,21.4612,-71.1419,298.86,88,0,7.51,TC,1618733609
247,san patricio,28.017,-97.5169,286.48,71,75,5.14,US,1618733609
248,hedaru,-4.5,37.9,296.48,77,98,4.72,TZ,1618733609
249,touros,-5.1989,-35.4608,297.15,94,75,4.63,BR,1618733610
250,sindou,10.6667,-5.1667,300.79,51,66,1.39,BF,1618733610
251,longyearbyen,78.2186,15.6401,275.15,75,75,12.35,SJ,1618733540
252,union,40.6334,-74.2663,282.59,61,75,2.06,US,1618733611
253,sawtell,-30.3833,153.1,291.15,72,26,4.12,AU,1618733611
254,salinas,36.6777,-121.6555,283.15,93,90,2.57,US,1618734010
255,kichmengskiy gorodok,59.9816,45.7854,278.11,50,73,5.04,RU,1618733612
256,qaqortoq,60.7167,-46.0333,265.15,49,0,3.09,GL,1618733612
257,vila velha,-20.3297,-40.2925,295.15,94,0,1.03,BR,1618733613
258,sabang,5.8933,95.3214,301.97,72,55,5.07,ID,1618733613
259,kaitangata,-46.2817,169.8464,283.71,70,92,3.4,NZ,1618733468
260,viet tri,21.3019,105.4308,297.15,83,75,2.57,VN,1618733477
261,saint-francois,46.4154,3.9054,280.93,70,0,3.6,FR,1618733614
262,matamoros,25.5333,-103.25,287.59,63,0,6.12,MX,1618733614
263,karamursel,40.6914,29.6157,293.71,93,75,5.14,TR,1618733614
264,cabo san lucas,22.8909,-109.9124,291.48,80,1,5.15,MX,1618733558
265,henties bay,-22.116,14.2845,303.08,32,89,8.81,NA,1618733615
266,umm lajj,25.0213,37.2685,302.48,51,0,3.74,SA,1618733616
267,la fria,8.2203,-72.2439,295.95,86,100,1.31,VE,1618733616
268,atocha,-20.9333,-66.2333,278.39,79,4,1.3,BO,1618733616
269,lagoa,39.05,-27.9833,288.93,86,48,7.56,PT,1618733617
270,yumen,40.2833,97.2,291.85,7,100,0.88,CN,1618733617
271,barcanesti,44.8833,26.05,282.15,76,100,5.14,RO,1618733618
272,flin flon,54.7682,-101.865,268.44,84,68,4.55,CA,1618733618
273,mildura,-34.2,142.15,292.15,37,90,3.09,AU,1618733618
274,lucapa,-8.4192,20.7447,296.58,71,65,3.33,AO,1618733619
275,namatanai,-3.6667,152.4333,300.52,80,100,5.3,PG,1618733619
276,sterling,39.0062,-77.4286,281.48,76,1,1.54,US,1618733620
277,tilichiki,60.4667,166.1,269.16,91,92,1.81,RU,1618733620
278,saint-paul,-21.0096,55.2707,301.15,61,90,3.6,RE,1618733620
279,birjand,32.8663,59.2211,297.15,12,0,2.06,IR,1618733621
280,taoudenni,22.6783,-3.9836,299.54,19,0,9.13,ML,1618733621
281,irbit,57.6705,63.071,275.39,40,100,7.0,RU,1618733622
